title,organizer,description,location,type,deadline,eligibility,artTypes,prize,link
Cocurrent Gallery – Exhibition EOI,Cocurrent Gallery,Open call for emerging artists and DJs. No theme or experience required. Platform for experimental visual art and music.,ACT,Exhibition + Event,Accepting Applications,Emerging artists and DJs,"Visual Art, Music",Exhibition + Performance Slot,https://www.woollahragallery.com.au/files/assets/gallery/v/1/artists/documents/wga-2024-25-exhibitions-eoi-info-pack.pdf
First Nations Early Producer Placement,Screen NSW,Paid 3-month placement with See-Saw Films in Sydney for an early-career First Nations producer to gain experience in screen development and business ops.,NSW,Placement/Internship,14 August 2025,Early-career First Nations producers,"Screen, Production",Paid 3-Month Placement,https://www.screen.nsw.gov.au/funding-support/first-nations-early-producer-placement
Gallery Two – 2026 Exhibition Call Out,Glen Eira City Council,"Call for local emerging artists, schools, and community groups to exhibit in Gallery Two. Includes curatorial advice and installation support.",VIC,Free Exhibition Opportunity,8 August 2025,"Local emerging artists, schools, community groups",Visual Arts,Free Space + Support,arts@gleneira.vic.gov.au
Dear Agnes 2026 – Public Art EOI,Hobsons Bay City Council,Up to 12 artists will be commissioned to respond to Agnes Denes’ work through site-specific public artworks for the ‘Dear Agnes’ Triennial.,VIC,Public Art Commission,8 August 2025,Public artists,"Public Art, Environmental Art","Up to $5,000 Artist Fee",arts@hobsonsbay.vic.gov.au
Telescope New Writing Program,Observatory Theatre,"Telescope commissions early-career QLD playwrights to develop new work with dramaturgical support, development time, showcase, and production season.",QLD,Playwriting Commission,7 September 2025,Early-career Queensland playwrights,"Theatre, Writing",Commission + Royalties + Public Outcomes,telescope@observatorytheatre.com
Bell Shakespeare Shorts Festival 2025,Bell Shakespeare,National student film festival to create short films inspired by Shakespeare. Open to schools and households.,National,Youth Film Festival,26 September 2025,Primary and secondary students,"Film, Literature, Performance",Prizes for Students and Schools,https://www.bellshakespeare.com.au/coriolanus?utm_source=GoogleAds&utm_medium=Search&utm_campaign=CORIMELSEARCH&utm_id=2025+CORI&gad_source=1&gad_campaignid=22700015902
Arts Centre Port Noarlunga – 2026 Exhibition Call,City of Onkaparinga,EOIs open for artists/curators to exhibit any medium. Exhibitions run 5–6 weeks between Feb–Nov.,SA,Exhibition Opportunity,30 September 2025,Artists and curators,Visual Arts,Exhibition Opportunity,artsbookings@onkaparinga.sa.gov.au
Sauerbier House Exhibition Program 2026–2027,City of Onkaparinga,"Contemporary artists, curators, and collectives may apply to exhibit for up to 6 weeks. Includes $400 support and optional skill-sharing.",SA,Exhibition + Workshop Support,4 September 2025,"Contemporary artists, collectives, curators",Visual Arts,$400 + In-Kind Support,Jaynie.langford@onkaparinga.sa.gov.au
JamFactory Associate Program 2026,JamFactory,"Two-year training program for emerging artists in glass, ceramics, furniture, or jewellery/metal. Includes studio access, mentorship, and professional training.",SA,Career Development Program,30 September 2025,Emerging artists and designers,"Ceramics, Glass, Metal, Furniture",Studio Access + Mentorship (Fees Apply),essie.kruckemeyer@jamfactory.com.au
On-Site,OSCA,"A new series of site-specific art experiences in unexpected public spaces. Includes artist/materials fees, curatorial and production support, promotion, and documentation.",SA,Site-Specific Art Program,4 August 2025,SA-based artists,"Public Art, Interdisciplinary",Paid Opportunity,https://osca.org.au/project/onsite/
NRCG 2026–27 Exhibition Program,Northern Rivers Community Gallery,"Proposals open for artists, curators, designers, and community groups. Seeking innovative, socially engaged, and experimental contemporary art.",NSW,Exhibition Program,31 August 2025,"Artists, curators, designers, community groups",Contemporary Art,Exhibition Opportunity,nrcg@ballina.nsw.gov.au
CS Gallery Christmas 2025 Windows,Melton City Council,Submit large-scale digital window designs celebrating Christmas. Printing/installation covered by Council.,VIC,Public Art Installation,24 August 2025,Artists in VIC,"Digital Art, Illustration","$4,000 Artist Fee",https://www.artshub.com.au/opportunity/cs-gallery-christmas-2025-windows-eoi-open-2812398/
Mode Festival 2025 – Arts Programme Call-Out,Mode Festival,"Call-out for multidisciplinary, immersive works to be featured at Cockatoo Island during Mode Festival 2025.",NSW,Festival Arts Program,Accepting Applications,Artists across disciplines,"Immersive, Multi-disciplinary",Participation/Exposure,https://www.modefestival.com.au/
George Paton Gallery 2026 – Call for Proposals,"George Paton Gallery, University of Melbourne",Inviting UniMelb students from any discipline to propose exhibitions including experimental forms.,VIC,Student Exhibition Opportunity,31 August 2025,University of Melbourne students,"Visual Art, Experimental, Performance",Exhibition Opportunity,gpg@union.unimelb.edu.au
Outdoor Gallery – Seeking Curatorial Teams,City of Moreton Bay,Seeking curatorial teams to lead 'Half a Million Imaginations'—up to 22 site-specific outdoor works across six locations.,QLD,Curatorial Opportunity,3 August 2025,Curatorial teams,"Public Art, Site-Specific","$85,000 (Fee + Expenses)",https://yoursay.moretonbay.qld.gov.au/outdoor-gallery
Brimbank Youth Arts Creative Producer Lab,Creative Brimbank,10-week program for young creatives to co-produce an arts showcase for the BE BOLD Festival. Mentorship from Candy Bowers included.,VIC,Youth Mentorship Program,3 August 2025,Young creatives aged 18–25,All Art Forms,Paid Mentorship + Artist Fee,https://creativebrimbank.com.au/community/stacc-regular-programs/creative-producer-lab
ATYP Originals – Commission Opportunity,Australian Theatre for Young People (ATYP),"Commission for young/emerging playwright to develop bold new work. Includes $12,400 and dramaturgical support.",NSW,Playwriting Commission,8 August 2025,Young/emerging playwrights,"Theatre, Writing","$12,400 + Dramaturgy",https://atyp.com.au/
The Atrium – 2026 Exhibition Call Out,Incinerator Gallery,"Proposals invited for site-specific, spatial or sculptural exhibitions in The Atrium. Includes marketing and public program support.",VIC,Site-Specific Exhibition,31 August 2025,Emerging and established artists/curators,"Sculpture, Installation, Mixed Media","$1,000 Artist Fee",incinerator@mvcc.vic.gov.au
Boadle Hall – 2026 Exhibition Call Out,Incinerator Gallery,"Proposals invited for 2D/3D exhibitions. Suitable for painting, sculpture, installation, mixed media. Includes curatorial and marketing support.",VIC,Exhibition Opportunity,31 August 2025,"Artists, curators, community groups","Mixed Media, Painting, Installation","$1,000 Artist or Curator Fee",incinerator@mvcc.vic.gov.au
LIMITLESS 2025 – Fundraiser Exhibition,The Mill,"SA artists invited to contribute A5 or small 3D artworks for fundraiser. 50% of sales go to artists, 50% to The Mill programs.",SA,Exhibition & Sales Opportunity,29 August 2025,South Australian artists,"Visual Arts, 3D Works",50% of $100 Sale Price,https://www.themilladelaide.com/residency-pages/2024/7/16/artist-call-out-limitless-the-mill-2025-fundraiser-exhibition
Visual Arts Program: 2026 Call-Out,The Mill,Exhibition proposals for 2026 at Angas Street galleries. 8-week shows; artist fees/support pending funding.,SA,Exhibition Opportunity,4 August 2025,"Artists, collectives, curators",Visual Arts,Potential Artist Fee + Support,visualarts@themilladelaide.com
Bowerbird Design Market 2025,Bowerbird Design Market,Curated design market in SA accepting applications from Australian designers/makers.,SA,Design Market,Accepting Applications,Designers and makers,"Design, Craft, Product",Sales (Stall Fees Start $650),https://bowerbird.net.au/
Carclew Fringe Venue EOI – Adelaide Fringe 2026,Carclew,EOIs open to present small-scale work during Fringe at Carclew’s venue. Youth rate venue hire from $280 per show.,SA,Fringe Venue Hire,12 September 2025,Artists presenting small-scale productions,"Theatre, Live Performance",Venue Access (Youth Rate $280/show),bmaiomackay@carclew.org.au
PYT Fairfield Artist Residency 2025,PYT Fairfield,"One-week residency for Western Sydney artists (18–28) to develop/present live work. Includes mentoring, budget, producing support.",NSW,Artist Residency,17 August 2025,Emerging Western Sydney artists (18–28),"Performance, Theatre","$7,000 + Residency",https://wsworkshop.org/opportunity-calendar/?gad_source=1&gad_campaignid=746794521
Pilot: Young Comedians to Debut Solo Shows,Pilot Comedy,"Fully funded opportunity for comedians aged 16–25 to debut solo shows at MICF. Includes creative, production, and financial support.",National,Comedy Development,30 August 2025,Comedians aged 16–25,"Comedy, Live Performance",Free Development & MICF Debut,pilotcomedy.team@gmail.com
2026 Exhibition Program – Expressions of Interest,Kingston Arts,EOIs open for exhibitions across 5 indoor/outdoor/projection gallery spaces. All disciplines welcome.,VIC,Exhibition Program,7 September 2025,Emerging and established artists,All Art Forms,"$1,150 Artist Fee",visualarts@kingston.vic.gov.au
"STUFF: Purpose, Profit and Peril – Textile Exhibition",Textile Palette x The Warehouse Clunes,"Textile/fibre artists invited to reflect on consumption, material culture, and waste for biennial curated show.",VIC,Textile Exhibition,20 February 2026,Textile and fibre artists,"Textile, Fibre Arts",Exhibition Opportunity,https://www.textilepaletteexhibition.org/
2026 Paired Exhibition Program,The Wandering Room,Artists will be paired for four curated shows in Melbourne (March–Sept 2026). Side-by-side or collaborative exhibitions.,VIC,Curated Exhibition Series,12 August 2025,Individual visual artists,Visual Arts,Exhibition Opportunity,https://www.thewanderingroom.org/
Made in the West Film Festival 2025,Made in the West,Festival for Western Sydney filmmakers. Open to student/independent films. Tiered entry pricing applies.,NSW,Film Festival,25 October 2025,Filmmakers from Western Sydney,"Film, Screen",Festival Entry (Fees $35–$50),info@madeinthewest.com.au
FLiCKERFEST 2026 – International Short Film Festival,Flickerfest,"Open for entries in International, Australian, and Documentary competitions. Academy® & BAFTA qualifying. Short films under 35 mins, last 2 years.",NSW,Film Festival,15 October 2025,Australian & International filmmakers,Film,Entry Fees Apply,info@flickerfest.com.au
Wake in Fright Development Initiative,"AACTA, Umbrella Entertainment & Sanctuary Pictures",Bold thriller/horror film script development. Focus on under-represented voices. Open to Australian writers.,National,Script Development,12 August 2025,Australian writers,"Film, Writing","$30,000 Development Funding",info@aacta.org
Royal Tasmanian Botanical Gardens – Public Art Commission,Arts Tasmania,"Exterior public art commission. Open to professional artists. Budget includes $72,000 + GST.",TAS,Public Art Commission,11 August 2025,Professional artists,Public Art,"$72,000 + GST",https://www.arts.tas.gov.au/industry_development/public_art/royal-tasmanian-botanical-gardens
subcultures – Open Call,Belconnen Arts Centre,National open call for artworks exploring underground movements and alternative identities. Group exhibition across all media.,ACT,Group Exhibition,27 October 2025,Artists across Australia,Multidisciplinary,Exhibition Opportunity,https://www.belcoarts.com.au/?gad_source=1&gad_campaignid=8830743338
Queer Here 2025,QCAD Galleries & Brisbane Pride,Open to queer artists in Brisbane/Meanjin. All media welcome. $500 prize awarded at opening night.,QLD,Queer Exhibition,11 August 2025,Queer-identifying artists in Brisbane,All Art Forms,$500 Prize + Exhibition Opportunity,qcagalleries@griffith.edu.au
No Vacancy Annual Group Show 2025,No Vacancy Gallery,"Group show of local contemporary art. Open to innovative, conceptual, experimental work in any medium.",VIC,Group Exhibition,17 August 2025,Contemporary artists,All Art Forms,"Exhibition Opportunity (Sept 9–20, 2025)",info@no-vacancy.com.au
CultureLAB,Arts House,"Residency program for independent artists/collectives to develop new work. Includes funding, studio, and production support.",VIC,Creative Development Residency,7 August 2025,"Independent artists, collectives, small orgs",All Art Forms,"Up to $20,000 + Support",https://www.artshouse.com.au/artist-opportunities/culturelab/
Artistic Program – Expressions of Interest,Contemporary Art Tasmania,"EOIs open for exhibitions, public programs, or off-site works. Relevance, experimentation, and viability required.",TAS,Artistic Program,Accepting Applications,Contemporary artists and curators,Contemporary Art,Enquire for Funding,kylie@contemporaryart.org.au
"Sculpture by the Sea, Cottesloe 2026",Sculpture by the Sea,Annual large-scale outdoor sculpture show on Cottesloe Beach. Open to Australian and international artists. Includes awards and subsidies.,WA,Outdoor Sculpture Exhibition,18 August 2025,Australian & International artists,"Sculpture, Public Art",Exhibition + Awards/Subsidies,https://sculpturebythesea.com/cottesloe/
Exhibit at Victorian Artists Society – 2026,Victorian Artists Society,Exhibition proposals open for 2026. Also 2025 vacancy available in Cato Gallery (23 Sept – 6 Oct).,VIC,Gallery Hire / Exhibition,Accepting Applications,Visual artists,All Art Forms,Exhibition Opportunity,https://vasgallery.org.au/Upcoming-Exhibitions~1892
The Next Chapter 2026,The Wheeler Centre,"Ten writers receive $15,000, mentorship, residency, and publishing support. Includes fellowships for a humour writer and a poet.",National,Writing Fellowship,8 August 2025,Australian writers,"Literature, Poetry, Nonfiction, Fiction","$15,000 + Mentorship + Residency + Support",thenextchapter@wheelercentre.com
Window Gallery Exhibition Callout,Artemisia Gallery,"Proposals open for 3D works for a new gallery space. Open to sculpture, ceramics, jewellery, fashion, and design-related work.",VIC,Gallery Exhibition Opportunity,Accepting Applications,3D artists,"Ceramics, Sculpture, Design",Exhibition Fee Applies,https://artemisiagallery.com.au/
Sydney Craft Week 2025 – Workshop Callout,Sydney Craft Week,"Call-out for two artists to run hands-on workshops on the theme “Material Intelligence.” Venue, ticketing, and promotion covered.",NSW,Workshop Opportunity,Accepting Applications,Artists and makers,"Craft, Material Practice",Paid Workshop + Promotion,https://sydneycraftweek.com/
Inner West Art Fair 2025 – Artist Applications,Inner West Art Fair,"Artist-run art fair, open to all mediums. Full earnings retained. Discounts for FN artists and locals.",VIC,Art Fair,Accepting Applications,All artists,All Art Forms,"$950 Solo / $1,100 Collective (+GST)",https://www.innerwestartfair.com.au/apply
The Other Art Fair,The Other Art Fair,"Leading artist-led fair held 29 Jan – 1 Feb 2026 at The Timber Yard, Port Melbourne. Open to artists of all styles and mediums.",VIC,Art Fair,10 October 2025,All artists,All Art Forms,,https://www.theotherartfair.com
New Futures Program – Naarm 2026,The Other Art Fair,"For first-time Melbourne-based exhibitors. Includes free booth, mentoring, and access to the global artist network at The Other Art Fair Naarm 2026.",VIC,Artist Support Program,26 September 2025,First-time exhibitors based in Melbourne,All Art Forms,Free Booth + Mentorship,https://www.theotherartfair.com/new-futures/about/
The Other Art Fair,The Other Art Fair,Independent artist fair in Sydney (6–9 Feb 2026). Open to artists at all career stages and working in any medium.,NSW,Art Fair,18 February 2026,All artists,All Art Forms,,https://www.theotherartfair.com
Little Gallery Emerging Artist Program 2026,Devonport Regional Gallery,Emerging Tasmanian artists invited to exhibit in the Little Gallery. Focus on experimentation and development.,TAS,Emerging Artist Exhibition,25 August 2025,Early-career Tasmanian artists,Visual Arts,Exhibition Opportunity,https://www.paranapleartscentre.com.au/the-little-gallery-emerging-artist-program26-application-form/
First Peoples Curators Program 2025,Firstdraft,"For early-career Aboriginal and/or Torres Strait Islander curators. Fully subsidised exhibition, fees, mentorship, and travel support.",NSW,Curatorial Development Program,Open Year Round,Early-career First Nations curators,"Curation, Visual Arts","$1,500 + Artist Fees + $1,000 Travel Fund",https://firstdraft.org.au/program-items/2025/first-peoples-curator-program
Live Program Call-Out,Firstdraft,"Open proposals for live, experimental, community-focused programs. Includes fees and production support.",NSW,Public Programming,Open Year Round,"Artists, curators, performers","Live Art, Experimental, Workshops","Up to $1,000 Curator Fee + $2,500 Artist Fees",https://firstdraft.org.au/program-items/2025/first-peoples-curator-program
Museums Victoria Gold Jewellery Acquisitive Prize,Museums Victoria,Invites proposals for wearable gold pieces responding to the Victorian gold story. Finalists will be commissioned for acquisition into the State Collection.,VIC,Jewellery Prize & Acquisition,31 August 2025,Jewellers and creative practitioners,"Jewellery, Design","$20,000 Major",https://museumsvictoria.com.au/museums-victoria-gold-jewellery-acquisitive-prize/
Exhibit with Us – 2026 Program,Newmarch Gallery,EOIs open for artists and curators to exhibit in Newmarch Gallery’s 2026 program. Exhibitions run for four weeks in a professional gallery.,SA,Exhibition Opportunity,31 August 2025,Artists and curators,Visual Arts,4-Week Gallery Exhibition Opportunity,https://www.newmarchgallery.com.au/current-opportunities
Community Venues for Artists,Merri-bek City Council,"Twelve venues available for hire by artists at not-for-profit rates during trial period. Spaces for creative development, rehearsals, and arts activities.",VIC,Space Access / Studio Hire,Accepting Applications,Artists and creative groups,All Art Forms,Affordable Venue Access,https://www.merri-bek.vic.gov.au/exploring-merri-bek/events/venues/spaces-for-arts-activities-/
MWFF 2026 – Short Film Submissions,Melbourne Women in Film Festival,"Submissions open for short films by female and gender diverse filmmakers from Australia, Aotearoa, and the Pacific.",VIC,Film Festival Submission,8 August 2025,Female and gender diverse filmmakers,"Film, Screen, Short Films",Festival Screening Opportunity,https://www.mwff.org.au/
2026 Stella Prize,Stella,"Major literary prize celebrating Australian women and non-binary writers across fiction, non-fiction, and poetry. Self-entry now open.",VIC,Literary Prize,Accepting Applications,Australian women and non-binary writers,"Fiction, Nonfiction, Poetry","$60,000 Winner",https://stella.org.au/eligibility-and-guidelines/
Wollongong Art Prize 2025,Wollongong Art Gallery,National acquisitive prize showcasing contemporary art from across Australia. Open to all mediums.,NSW,Art Prize,14 September 2025,Australian artists,All Art Forms,"$32,000 Prize Pool",https://wollongongartgallery.au/wag-exhibitions/wollongong-art-prize
AGDA Design Awards 2025,Australian Graphic Design Association,"Recognising top design across Australia. Categories for student, emerging, and professional work. Entry fees apply.",National,Design Award,31 August 2025,"Designers, studios, students nationwide",Graphic Design,Entry Fees Apply,https://agda.com.au/
2026 Victorian Premier’s Literary Awards,The Wheeler Centre,"Prestigious literary prizes across multiple categories including the $100,000 Victorian Prize for Literature.",VIC,Literary Awards,29 August 2025,Australian writers,"Fiction, Nonfiction, Poetry, etc.","Up to $100,000",vpla@wheelercentre.com
Art Prize 2025 – Create Against the Machine,Trades Hall,"Inviting entries on worker surveillance, automation, and resistance. Part of Melbourne Fringe.",VIC,Art Prize,1 September 2025,"All artists, including beginners",All Art Forms,"$5,000 Winner",https://www.weareunion.org.au/art_prize25
Youth Art Exhibition 2025,Glen Eira Youth Services,Theme: Time and Space. Open to ages 5–25 in Glen Eira. Prizes and a solo exhibition for 18–25 winner.,VIC,Youth Art Prize,15 August 2025,Young people aged 5–25 in Glen Eira,All Art Forms,Up to $300 + Solo Exhibition,youthservices@gleneira.vic.gov.au
KYD Creative Non-Fiction Essay Prize 2025,Kill Your Darlings,"Submit a 2,500–3,500 word creative nonfiction essay. Winners receive cash and publication on KYD website.",National,Writing Prize,28 September 2025,Writers of creative nonfiction,"Nonfiction, Essay","$2,500 First",https://www.killyourdarlings.com.au/awards/kyd-creative-non-fiction-essay-prize/
IMAGinE Awards 2025,Museums & Galleries of NSW,"Recognising excellence across exhibitions, engagement, collections care, and achievements in NSW museums and galleries.",NSW,Sector Awards,15 September 2025,"Museums, galleries, Aboriginal cultural centres","Exhibitions, Engagement",Recognition Awards,https://mgnsw.org.au/sector/programs/imagine/
2026 AQC Challenge,Australasian Quilt Convention,Submit a 90cm quilt interpreting the theme. Winning works will be toured nationally.,VIC,Quilt Competition,5 February 2026,Quilt artists,Textile Arts,"$3,500 Winner",https://aqc.com.au/2026-aqc-challenge/
BigCi Environmental Awards 2025,BigCi,"Two artists receive $5,000 and a four-week residency in the Blue Mountains to create environmentally focused work.",NSW,Residency + Prize,24 August 2025,Australian and international artists,All Art Forms,"$5,000 + 4-Week Residency",https://bigci.org/awards/
Acquisitive Small Sculpture Prize 2025,Turbo Gallery,National acquisitive prize for outdoor freestanding sculptures. Winning work acquired for Rainbow’s sculpture garden.,VIC,Sculpture Prize,7 October 2025,Australian sculptors,Sculpture,"$7,000 Prize Pool",https://www.artshub.com.au/opportunity/acquisitive-small-sculpture-prize-2025-2808152/
Summer Small Works Show & Prize 2025,Caelene Nee Glen,Themed exhibition (2025: Under the Surface). Open to AU/NZ artists. Non-acquisitive.,VIC,Group Show + Prize,2 November 2025,Australian & NZ artists,All Art Forms,"$1,000 First Prize + $100 Awards",https://www.caeleneneeglen.com.au/summer-small-works-show-prize-2025
Young Creatives Awards 2025,Inner West Council,"Ages 12–24 in the Inner West. Submit original work in art, film, or writing inspired by a library item.",NSW,Youth Creative Award,31 August 2025,Young creatives aged 12–24 in Inner West,"Writing, Visual Art, Film","$8,250 Prize Pool",https://www.innerwest.nsw.gov.au/explore/whats-on/annual-events/young-creative-awards
Museums Victoria Gold Jewellery Prize,Museums Victoria,"Proposals for wearable gold works for the State Collection. Includes 3 prizes: major, First Peoples, and emerging.",VIC,Jewellery Prize,31 August 2025,Jewellers and creative practitioners,"Jewellery, Design","$20,000",https://museumsvictoria.com.au/museums-victoria-gold-jewellery-acquisitive-prize/
National Emerging Art Prize 2025,National Emerging Art Prize,"For unrepresented emerging painters and photographers. Includes cash awards, exhibition, and mentoring.",NSW,Emerging Art Prize,1 September 2025,"Emerging, unrepresented artists","Painting, Photography","$20,000",https://nationalemergingartprize.com.au/
The 13th Koorie Art Show 2025,Koorie Heritage Trust,Annual open-entry show for Aboriginal and Torres Strait Islander artists in VIC. Multiple cash prizes; all works exhibited.,VIC,Indigenous Art Prize,28 September 2025,Aboriginal and Torres Strait Islander artists in VIC,All Art Forms,"$10,000 Major Prize",https://kht.org.au/whats-on/exhibitions/the-13th-koorie-art-show-2025/
Nillumbik Prize for Contemporary Writing 2026,Nillumbik Shire Council,"Biennial prize for short story and poetry. Theme: Echoes. Awards in Open, Local, and Youth categories. Includes publication.",VIC,Writing Prize,30 September 2025,Australian writers,"Short Story, Poetry","Up to $5,000 + Publication",program@writersvictoria.org.au
Hornsby Art Prize 2025,Hornsby Shire Council,"Non-acquisitive national art prize across painting, drawing, printmaking, photography, and sculpture.",NSW,Art Prize,7 August 2025,Australian artists,"Painting, Drawing, Sculpture, etc.","$23,000 Prize Pool",https://www.hornsby.nsw.gov.au/lifestyle/arts-and-culture/hornsby-art-prize-2025
Experimental Print Prize (EPP) 2025,Castlemaine Art Museum,Biennial prize celebrating innovation in Victorian printmaking. Now acquisitive and open to Victorian residents.,VIC,Printmaking Prize,28 September 2025,Victorian printmakers,Printmaking,"$10,000 Major",https://www.castlemainegallery.com.au/exhibitions/2025-epp
Bindi Digital Art Prize 2025,Bindi Enterprises,National digital and moving image art prize celebrating inclusion and creative excellence. Winning works shown in Alice Springs.,NT,Digital Art Prize,1 September 2025,Australian artists,"Digital Art, Moving Image","$3,000 Major",https://www.bindienterprises.org.au/bindi-digital-art
Portia Geach Memorial Award 2025,S.H. Ervin Gallery,"National portraiture prize for women artists painting from life of someone distinguished in art, letters, or science.",NSW,Portrait Prize,15 August 2025,Women artists residing in Australia,Painting,"$30,000 Non-Acquisitive",sheg@nationaltrust.com.au
Art Farm Birchs Bay Sculpture Prize 2025,Art Farm Birchs Bay,Annual outdoor sculpture prize exhibited on a scenic trail overlooking Bruny Island. Open to sculptures of all sizes and mediums.,TAS,Sculpture Prize,31 August 2025,Australian sculptors,Sculpture,"Over $10,000 in Prizes & Acquisitions",https://www.artfarmbirchsbay.org.au/
Kaleidoscope IV – LGBTQIA+ Exhibition,Belconnen Arts Centre,Open call for LGBTQIA+ artists to showcase 2D or 3D works celebrating queerness and individuality. Eligible for People’s Choice Award.,ACT,Group Exhibition,14 September 2025,LGBTQIA+ artists across Australia,"Visual Arts, 2D & 3D",$500 People’s Choice Award,moni@belcoarts.com.au
The Defiance Award – Painting,Defiance Gallery,"National award for Australian painting. Includes solo exhibition, 2-week NZ residency, return flights, and cash prize.",NSW,Painting Prize,1 September 2025,Australian painters,Painting,"$3,000 + Solo Exhibition + NZ Residency",https://www.thedefianceaward.com/
A.M.E. Bale Art Prize,Glen Eira City Council,"Recognises Australian artists working in realist, figurative, or representational styles. Includes scholarship and category prizes.",VIC,Art Prize,23 September 2025,Australian realist artists,"Painting, Drawing","$5,000 Oils/Acrylics",https://www.gleneira.vic.gov.au/our-city/arts-and-culture/galleries-and-visual-art/ame-bale-travelling-scholarship-and-art-prize
Woollahra Digital Literary Award 2025,Woollahra Libraries,"Literary prize for fiction, non-fiction, poetry, and hybrid works published digitally. Includes Readers’ Choice Award.",NSW,Literary Award,14 August 2025,Australian digital writers,"Fiction, Non-Fiction, Poetry","$2,500 Fiction",https://www.woollahra.nsw.gov.au/Library/Digital-literary-award
The Pearl Prize 2026,Osborne and Fawkner Publishing,International writing award celebrating queer writers as part of Midsumma Festival 2026. Includes publication and cash prizes.,National,Writing Prize,29 August 2025,Queer-identifying writers,"Fiction, Non-Fiction, Poetry",$500 Winner,https://www.osborneandfawknerpublishinghq.com/the-pearl-prize
2025 ANU School of Art & Design Drawing Prize,ANU School of Art & Design,Prize recognising drawing practices of current ANU Art & Design students enrolled in Semester 2.,ACT,Student Prize,Accepting Applications,ANU School of Art & Design students,Drawing,"$1,500 Prize",https://soad.cass.anu.edu.au/news/call-entries-2025-anu-school-art-design-drawing-prize
Not Quite Write Prize for FLESH Fiction,Not Quite Write Podcast,Erotic short story contest themed “Making the unsexy irresistible.” Open worldwide. Free entry.,National & International,Writing Competition,24 August 2025,International writers,Short Fiction,$500 Winner,https://notquitewritepodcast.com/fleshfiction/
13th Prospect Portrait Prize,Newmarch Gallery,"SA’s longest-running portrait prize. Non-acquisitive, open to all mediums.",SA,Portrait Prize,26 September 2025,Australian artists,"Portraiture, All Mediums","$5,000 First Prize",https://www.artshub.com.au/opportunity/13th-prospect-portrait-prize-2792315/
Rhiza Edge Short Story Competition 2025,Wombat Books / Rhiza Edge,Short story competition with streams on Migration/Diaspora (Aug) and Fantasy (Dec). Winners receive publication and appraisals.,National,Short Story Competition,Aug 2025 (Theme 1),Dec 2025 (Theme 2),Australian writers,Short Fiction,https://wombatrhiza.com.au/rhiza-edge-short-story-competition/
First Pages Writing Competition,Sketch & Scribe Fest,Competition for unagented Australian writers to submit opening pages of unpublished children’s or YA manuscripts.,National,Writing Competition,30 August 2025,Unagented Australian writers,"Children’s Literature, YA",Publisher Assessment + Pitch,https://www.sketchandscribefest.com/first-pages-writing-competition
Paddington Art Prize 2025,Paddington Art Prize,"Acquisitive national prize for a painting inspired by the Australian landscape, encouraging contemporary interpretations.",NSW,Painting Prize,10 August 2025,Australian painters,"Painting, Landscape",Prize + Acquisition,https://www.paddingtonartprize.com.au/
ANAT Synapse 2026 Residency Program,ANAT,Research-led residency for Australian artists engaging with science/technology. Emphasis on experimentation over outcomes.,National,Residency Program,29 Oct 2025,Australian artists,All Disciplines,Residency Program,info@anat.org.au
Creative Residency – Vaucluse House,Museums of History NSW,"12-month, non-residential residency offering studio access at Vaucluse House for NSW-based individuals/organisations.",NSW,Studio Access,14 Sep 2025,NSW-based creatives,All Disciplines,Studio Access Opportunity,https://mhnsw.au/creative-and-cultural-residency-vaucluse-house/
WOT x CAS x Artist in Residence EOI,Connection Arts Space,"8-week residency for marginalised artists with studio space, stipends, showcase. Spots for Queer Artists and Aunties in Residence.",VIC,Studio Residency,3 Aug 2025,Marginalised artists from Melbourne’s South-East,All Disciplines,"$1,000 – $2,000 Artist Stipend",fathiahraihan@connectionartsspace.org
BR Whiting Studio Residency,Creative Australia,"Writing residency in Rome for Australian writers. One, three, or six-month options.",VIC/Rome,Writing Residency,5 Aug 2025,Australian writers,Writing,"$5,000–$25,000",https://creative.gov.au/investments-opportunities/br-whiting-studio-residency
Keesing Studio Residency at Cité des Arts,Creative Australia,Three/six-month literary residency in Paris for Australian writers.,VIC/Paris,Writing Residency,5 Aug 2025,Australian writers,Writing,"$12,500–$25,000",https://creative.gov.au/investments-opportunities/keesing-studio-residency-cite-internationale-des-arts
Cité internationale des arts Residency,Creative Australia,Three-month residency in Paris for artists across all disciplines.,VIC/Paris,International Residency,5 Aug 2025,Australian artists,All Disciplines,"$12,500",https://creative.gov.au/investments-opportunities/cite-internationale-des-arts-residency
Sauerbier House Artist in Residence Program 2026–2027,City of Onkaparinga,6 or 12-week site-responsive studio residency with materials/exhibition support.,SA,Studio Residency,4 Sep 2025,Australian artists,Contemporary Visual Arts,"Up to $3,000 Support Package",arts@onkaparinga.sa.gov.au
Billilla Artists Studio Program,Bayside City Council,12-month studio residency with community engagement. Open to all disciplines and stages.,VIC,Studio Residency,29 Aug 2025,Australian artists,All Disciplines,Free Studio Space,arts@bayside.vic.gov.au
Scene Shift Residency Program,The Cad Factory & Brand X,"Cross-regional residency in NSW for metro and regional artists, supports interdisciplinary practices.",NSW,Residency,7 Aug 2025,Metro/regional artists,"Interdisciplinary, Sound, Visual, etc.","$4,000 + Allowances + Super",info@cadfactory.com.au
